Control_ID,COSO_Component,COSO_Principle_No,Business_Process,Risk_Description,Inherent_Risk_Level,Control_Mechanism,Control_Type,Implementation_Status,Residual_Risk_Score,Islamic_Governance_Dimension,Auditor_Recommendation
CTRL-011,Control Activities,Principle 10 (Selects & Develops Control Activities),Pengeluaran Kas & Biaya,Pencairan biaya operasional tanpa Three-Way Matching invoice dan bukti terima,High,Verifikasi 3-Way Matching sistem antara PO Bukti Terima dan Invoice,Preventive,Effective,Low,Amanah,Pertahankan kontrol otomatis dan terapkan digital approval flow
CTRL-012,Control Activities,Principle 10 (Selects & Develops Control Activities),Penerimaan Setoran Angsuran,Uang setoran nasabah di lapangan dibawa kabur petugas tanpa slip resmi (Lapping),Critical,Kuitansi kertas manual tanpa sinkronisasi SMS notifikasi instan,Preventive,Material Weakness,Critical,Sidq & Anti-Ghasab,Ganti seluruh kuitansi manual dengan Android Mobile E-Receipt real-time WhatsApp alert
CTRL-013,Control Activities,Principle 11 (General Controls over Technology),Akses Database Server,Akses superuser database dibagi bersama oleh 3 staf IT tanpa personal login,Critical,Password admin tunggal yang dicatat di dokumen bersama internal IT,Preventive,Material Weakness,Critical,Amanah,Terapkan Role-Based Access Control (RBAC) individu dan Multi-Factor Authentication (MFA)
CTRL-014,Control Activities,Principle 11 (General Controls over Technology),Backup Data Transaksi,Kehilangan data pembukuan akibat kerusakan harddisk server utama tanpa replikasi,Critical,Automated daily snapshot backup ke cloud terenkripsi dan off-site storage,Corrective,Effective,Low,Hifz al-Mal,Lakukan simulasi restore backup data berkala setiap 3 bulan
CTRL-015,Control Activities,Principle 12 (Deploys through Policies & Procedures),SOP Pembatalan Transaksi,Void transaksi kas dapat dilakukan kasir tanpa otorisasi supervisor counter,High,Fitur void transaksi membutuhkan Supervisor Card Swipe & PIN Approval,Preventive,Effective,Low,Amanah,Pertahankan dual authorization untuk setiap transaksi koreksi/void
CTRL-016,Information & Communication,Principle 13 (Uses Relevant Information),Laporan Keuangan Bulanan,Laporan laba rugi terdistorsi karena keterlambatan closing jurnal penyusutan aset,Medium,Automated scheduled batch job penyusutan aset tetap akhir bulan,Detective,Effective,Low,Sidq,Pertahankan batch job dan lakukan verifikasi saldo GL per tanggal 1
CTRL-017,Information & Communication,Principle 14 (Communicates Internally),Whistleblowing System,Karyawan takut melaporkan indikasi fraud pimpinan cabang karena ketiadaan anonimitas,High,Kotak saran fisik di ruang istirahat tanpa saluran pelaporan digital anonim,Detective,Deficient,High,Hisbah & Amanah,Bangun portal Whistleblowing System (Amanah Line) online terenkripsi independen
CTRL-018,Information & Communication,Principle 15 (Communicates Externally),Konfirmasi Saldo Nasabah,Nasabah tidak menerima mutasi rekening berkala sehingga tidak sadar ada selisih,High,Kirim e-statement bulanan otomatis via email dan WhatsApp terverifikasi,Detective,Effective,Low,Transparansi & Tabligh,Perluas cakupan e-statement ke 100% nasabah mikro dan tabungan
CTRL-019,Monitoring Activities,Principle 16 (Conducts Ongoing/Separate Evaluations),Audit Internal Rutin,Cabang pembantu terpencil tidak diaudit fisik selama lebih dari 18 bulan,High,Jadwal audit tahunan berbasis rotasi lokasi tanpa mempertimbangkan profil risiko,Detective,Deficient,High,Muhasabah,Terapkan Risk-Based Internal Auditing (RBIA) dengan prioritas cabang profil risiko tinggi
CTRL-020,Monitoring Activities,Principle 17 (Evaluates & Communicates Deficiencies),Tindak Lanjut Temuan Audit,Temuan audit tahun lalu terkait kelemahan password belum diperbaiki manajemen,Critical,Log tindak lanjut temuan berbasis spreadsheet tanpa penalti batas waktu (SLA),Corrective,Material Weakness,High,Muhasabah & Itqan,Integrasikan Issue Tracking System otomatis dengan eskalasi langsung ke Direksi dan DPS
CTRL-021,Control Activities,Principle 10 (Selects & Develops Control Activities),Pencairan Dana Tabungan Wadiah,Penarikan tabungan nasabah di atas Rp 10 Juta dilakukan tanpa konfirmasi OTP SMS,High,Verifikasi tanda tangan visual teller dan OTP token ke nomor HP nasabah,Preventive,Effective,Low,Amanah,Pertahankan validasi biometrik/OTP untuk transaksi bernilai material
CTRL-022,Risk Assessment,Principle 7 (Identifies & Analyzes Risk),Portofolio Musyarakah,Kerugian proyek mitra musyarakah akibat ketiadaan audit pembukuan usaha berkala,High,Monitoring omzet mitra secara berkala dan hak inspeksi pembukuan oleh auditor BPRS,Detective,Effective,Low,Adl & Syirkah,Pertahankan klausul hak inspeksi berkala dan format laporan standar syirkah
CTRL-023,Control Environment,Principle 1 (Integrity & Ethical Values),Budaya Kerja Islami,Karyawan mengabaikan SOP dengan alasan efisiensi waktu dan target nasabah cepat,Medium,Kajian keislaman mingguan dan evaluasi kedisiplinan SOP bulanan,Preventive,Effective,Low,Taqwa & Raqabah,Tingkatkan internalisasi nilai moral spiritual sebagai pengendali intrinsik utama
CTRL-024,Information & Communication,Principle 13 (Uses Relevant Information),Pelaporan Zakat Perusahaan,Keterlambatan kalkulasi zakat perniagaan 2.5% karena data aset lancar tidak real-time,Medium,Modul integrasi zakat otomatis pada core banking sesuai fatwa AAOIFI,Detective,Effective,Low,Zakat & Barakah,Pertahankan otomasi modul kalkulator zakat perniagaan real-time
CTRL-025,Monitoring Activities,Principle 16 (Conducts Ongoing/Separate Evaluations),Continuous Audit Log,Log audit server tidak pernah direview kecuali setelah terjadi insiden kehilangan dana,Critical,Log audit otomatis tersimpan di server namun tidak ada automated log analyzer,Detective,Material Weakness,Critical,Raqabah,Pasang SIEM / Automated Audit Log Alert untuk mendeteksi anomali akses seketika
